Sample ID,Date,Amount of Layers,Materials,Magnetron Powers,Growth Times,Inlet gasses,Background Pressure,Period,Gamma ratio,Bias,Comments,Specular X-ray file location,Off-specular X-Ray file location,Specular Neutron file location,Off-specular Neutron file location,2D Map location
IFM20026,2020-04-04,100,Ni/Ti + 11B4C,11B4C: 40W,,Ar: 3 mTorr,,,,0V/-30V,,data/xrr/IFM20026.xy,data/xrayoffspec/IFM20026_rocking.xy,,,
IFM20027,2020-04-05,100,Ni/Ti + 11B4C,11B4C: 40W,,Ar: 3 mTorr,,,,-30V,,data/xrr/IFM20027.xy,data/xrayoffspec/IFM20027_rocking.xy,,,
IFM20028,2020-04-03,100,Ti/Ni + 11B4C,11B4C: 40W,,Ar: 3 mTorr,,,,0V/-35V,,data/xrr/IFM20028.xy,data/xrayoffspec/IFM20028_rocking.xy,,,
IFM20029,2020-04-03,100,Ti/Ni,,,Ar: 3 mTorr,,,,0V/-30V,,data/xrr/IFM20029.xy,data/xrayoffspec/IFM20045_rocking.xy,,,
IFM20043,2020-04-03,100,Ti/Ni + 11B4C,B4C: 40W,,Ar: 3 mTorr,,54.87 Å,,-30V,,data/xrr/IFM20043.xy,data/xrayoffspec/IFM20043_rocking.xy,,,
IFM20044,2020-04-03,100,Ti/Ni,,,Ar: 3 mTorr,,51.44 Å,,0V/-30V,,data/xrr/IFM20044.xy,data/xrayoffspec/IFM20044_rocking.xy,,,
IFM20045,2020-04-03,100,Ni/Ti + 11B4C,11B4C: 40W,,Ar: 3 mTorr,,47.5 Å,,0V/-30V,,data/xrr/IFM20045.xy,data/xrayoffspec/IFM20045_rocking.xy,,,
IFM20046,2020-04-04,100,Ni/Ti + 11B4C,11B4C: 40W,,Ar: 3 mTorr,,,,,,data/xrr/IFM20046.xy,data/xrayoffspec/IFM20046_rocking.xy,,,
IFM20047,2020-04-05,100,Ni/Ti + 11B4C,11B4C: 40W,,Ar: 3 mTorr,,,,0V/-30V,,data/xrr/IFM20047.xy,data/xrayoffspec/IFM20047_rocking.xy,,,
IFM20048,2020-04-03,100,Ti/Ni + 11B4C,11B4C: 20W,,Ar: 3 mTorr,,54.87 Å,,0V/-30V,,data/xrr/IFM20048.xy,data/xrayoffspec/IFM20048_rocking.xy,,,
IFM21001,2021-11-01,100,Ti/Ni + 11B4C,11B4C: 20W,,Ar: 3 mTorr,,54.87 Å,,0V/-30V,,data/xrr/IFM21001.xy,data/xrayoffspec/IFM20048_rocking.xy,,,
IFM21002,2021-11-01,50,,,,Ar: 3 mTorr,,,,,,data/xrr/IFM21002.xy,data/xrayoffspec/IFM21002_rocking.xy,,,
IFM21003,2021-11-01,50,,,,Ar: 3 mTorr,,,,,,data/xrr/IFM21003.xy,data/xrayoffspec/IFM21003_rocking.xy,,,
IFM21004,2021-11-01,50,,,,Ar: 3 mTorr,,,,,,data/xrr/IFM21004.xy,data/xrayoffspec/IFM21004_rocking.xy,,,
IFM21005,2021-11-01,50,Ni/Ti,,,Ar: 3 mTorr,,,,,,data/xrr/IFM21005.xy,data/xrayoffspec/IFM21005_rocking.xy,,,
IFM21006,2021-11-01,50,Ni/Ti,,,Ar: 3 mTorr,,,,-30V,,data/xrr/IFM21006.xy,data/xrayoffspec/IFM21006_rocking.xy,,,
IFM21007,2021-11-01,50,Ni/Ti,,,Ar: 3 mTorr,,,,-30 V,,data/xrr/IFM21007.xy,data/xrayoffspec/IFM21007_rocking.xy,,,
IFM21009,2021-11-01,50,,,,Ar: 3 mTorr,,,,,,data/xrr/IFM21009.xy,data/xrayoffspec/IFM21009_rocking.xy,,,
IFM21010,2021-11-01,50,Ni/Ti + 11B4C interlayers,,,Ar: 3 mTorr,,,,0V/-30V,interlayers of 20 s,data/xrr/IFM21010.xy,data/xrayoffspec/IFM21010_rocking.xy,,,
